login_account,privilege_level,page_url,operation_time,operation_content
acct_type1,2,/products/test,2025/09/14 09:00:00,Normal access
acct_type1,2,/products/test,2025/09/14 09:00:20,Normal access
acct_type1,2,/products/test,2025/09/14 09:00:40,Normal access
acct_type1,2,/products/test,2025/09/14 09:01:00,Normal access
acct_type1,2,/products/test,2025/09/14 09:01:20,Normal access
acct_type1,2,/products/test,2025/09/14 09:01:40,Normal access
acct_type1,2,/products/test,2025/09/14 09:02:00,Normal access
acct_type1,2,/products/test,2025/09/14 09:02:20,Normal access
acct_type1,2,/products/test,2025/09/14 09:02:40,Normal access
acct_type1,2,/products/test,2025/09/14 09:03:00,Normal access
acct_type1,2,/products/test,2025/09/14 09:03:20,Normal access
acct_type1,2,/products/test,2025/09/14 09:03:40,Normal access
acct_type2,2,/products/test,2025/09/14 09:00:00,Normal access
acct_type2,2,/products/test,2025/09/14 09:10:00,Normal access
acct_type2,2,/products/test,2025/09/14 09:20:00,Normal access
acct_type2,2,/products/test,2025/09/14 09:30:00,Normal access
acct_type2,2,/products/test,2025/09/14 09:40:00,Normal access
acct_type2,2,/products/test,2025/09/14 09:50:00,Normal access
acct_type2,2,/products/test,2025/09/14 10:00:00,Normal access
acct_type2,2,/products/test,2025/09/14 10:10:00,Normal access
acct_type2,2,/products/test,2025/09/14 10:20:00,Normal access
acct_type2,2,/products/test,2025/09/14 10:30:00,Normal access
acct_type2,2,/products/test,2025/09/14 10:40:00,Normal access
acct_type2,2,/products/test,2025/09/14 10:50:00,Normal access
acct_type2,2,/products/test,2025/09/14 11:00:00,Normal access
acct_type2,2,/products/test,2025/09/14 11:10:00,Normal access
acct_type2,2,/products/test,2025/09/14 11:20:00,Normal access
acct_type2,2,/products/test,2025/09/14 11:30:00,Normal access
acct_type2,2,/products/test,2025/09/14 11:40:00,Normal access
acct_type2,2,/products/test,2025/09/14 11:50:00,Normal access
acct_type2,2,/products/test,2025/09/14 12:00:00,Normal access
acct_type2,2,/products/test,2025/09/14 12:10:00,Normal access
acct_type2,2,/products/test,2025/09/14 12:20:00,Normal access
acct_type2,2,/products/test,2025/09/14 12:30:00,Normal access
acct_type2,2,/products/test,2025/09/14 12:40:00,Normal access
acct_type2,2,/products/test,2025/09/14 12:50:00,Normal access
acct_type2,2,/products/test,2025/09/14 13:00:00,Normal access
acct_type2,2,/products/test,2025/09/14 13:10:00,Normal access
acct_type2,2,/products/test,2025/09/14 13:20:00,Normal access
acct_type2,2,/products/test,2025/09/14 13:30:00,Normal access
acct_type2,2,/products/test,2025/09/14 13:40:00,Normal access
acct_type2,2,/products/test,2025/09/14 13:50:00,Normal access
acct_type2,2,/products/test,2025/09/14 14:00:00,Normal access
acct_type2,2,/products/test,2025/09/14 14:10:00,Normal access
acct_type2,2,/products/test,2025/09/14 14:20:00,Normal access
